index,dna_biosample,sequence_data_type,ampliconlibrary_quantification_ng.ul,plate_ID,well_location,sample_or_blank,sample_spiked_blank,spiked_volume,swab_presence,MK_spike,Sequencer,sample_name.y,animal_biosample,DNA_data_type,sample_type,dna_experiment_date,dna_extraction_success,Basidiobolus_present,Ct_value,copy_number,DNA.QC.ng.ul.fluorometer,DNA.QC.A260.280,qualitative_visualization.1_5.scale,culture_biosample,sample_name,becky_hardman_id,bh_id_prefix,zoo_nashville_id,pit,tank_number,hatch_date,sex,weight,total_length,terbinafine,river.water,diet_crayfish,last_crayfish_feeding,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,svl,animal_type,animal_ecomode,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab
UHM750_35812,35793,16S_amplicon,37,UHM_Hellbender_Partial_P3_CEC,H2,sample,sample,1,0,1,NA,UHM750,35777,DNA,fecal,8/6/2024,NA,NA,NA,NA,NA,NA,NA,35777,UHM750,18ZB-41,18ZB,7341,3D6153439 4CBD,NA,10/5/2018,M,155,31.5,1,NA,NA,,uhm,wild,fecal,water,Y,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,7/31/2024,TN,lewis,Interior Plateau,NA,Shady Bluff,35.56,-87.4,0,metadata,Chloe Cummins,,Host pooped in container with river water - fecal sample collected via sterile swab
UHM754_34567,34080,16S_amplicon,57,UHM_Hellbender_P2_CEC,G5,sample,sample,1,1,1,NA,UHM754,22901,DNA,cloacal swab,6/14/2024,NA,NA,NA,NA,NA,NA,NA,22901,UHM754,18ZB-10,18ZB,7310,3D6153439 4B07,NA,10/5/2018,F,590,40,NA,NA,1,8/16/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,1/23/2024,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM754_34603,34402,16S_amplicon,48,UHM_Hellbender_P2_CEC,C10,sample,sample,1,1,1,NA,UHM754,11951,DNA,cloacal swab,6/24/2024,NA,NA,NA,NA,NA,NA,NA,11951,UHM754,18ZB-10,18ZB,7310,3D6153439 4B07,NA,10/5/2018,F,309,35.5,NA,NA,1,2/15/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,2/21/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM754_34611,34411,16S_amplicon,50,UHM_Hellbender_P2_CEC,C11,sample,sample,1,1,1,NA,UHM754,11952,DNA,cloacal swab,6/25/2024,NA,NA,NA,NA,NA,NA,NA,11952,UHM754,18ZB-10,18ZB,7310,3D6153439 4B07,NA,10/5/2018,F,382,36,0,NA,1,2/15/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/1/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM754_34619,34420,16S_amplicon,38,UHM_Hellbender_P2_CEC,C12,sample,sample,1,1,1,NA,UHM754,11953,DNA,cloacal swab,6/27/2024,NA,NA,NA,NA,NA,NA,NA,11953,UHM754,18ZB-10,18ZB,7310,3D6153439 4B07,NA,10/5/2018,F,469.6,39.9,0,NA,1,2/15/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,11/7/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM755_34565,34078,16S_amplicon,44,UHM_Hellbender_P2_CEC,E5,sample,sample,1,1,1,NA,UHM755,22904,DNA,cloacal swab,6/14/2024,NA,NA,NA,NA,NA,NA,NA,22904,UHM755,18ZB-5,18ZB,7305,3D6153439 619D,NA,10/5/2018,F,580,41,NA,NA,1,12/13/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,1/23/2024,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM755_34573,34086,16S_amplicon,45,UHM_Hellbender_P2_CEC,E6,sample,sample,1,1,1,NA,UHM755,11954,DNA,cloacal swab,6/14/2024,NA,NA,NA,NA,NA,NA,NA,11954,UHM755,18ZB-5,18ZB,7305,3D6153439 619D,NA,10/5/2018,F,322.7,35.6,NA,NA,1,2/15/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,2/21/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM755_34609,34409,16S_amplicon,56,UHM_Hellbender_P2_CEC,A11,sample,sample,1,1,1,NA,UHM755,11955,DNA,cloacal swab,6/25/2024,NA,NA,NA,NA,NA,NA,NA,11955,UHM755,18ZB-5,18ZB,7305,3D6153439 619D,NA,10/5/2018,F,396,37,0,NA,1,2/15/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,5/1/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM755_34617,34417,16S_amplicon,52,UHM_Hellbender_P2_CEC,A12,sample,sample,1,1,1,NA,UHM755,11956,DNA,cloacal swab,6/25/2024,NA,NA,NA,NA,NA,NA,NA,11956,UHM755,18ZB-5,18ZB,7305,3D6153439 619D,NA,10/5/2018,F,482.4,41,0,NA,1,8/16/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,11/7/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
UHM756_34524,34424,16S_amplicon,46,UHM_Hellbender_P1_CEC,D12,sample,sample,1,1,1,NA,UHM756,11959,DNA,cloacal swab,6/27/2024,NA,NA,NA,NA,NA,NA,NA,11959,UHM756,18ZB-18,18ZB,7318,3D6153439 6B59,NA,10/5/2018,F,386.5,38,0,NA,1,2/15/2023,uhm,zoo,cloaca swab,dry,N,Cryptobranchus alleganiensis,Cryptobranchus,alleganiensis,NA,salamander,Aquatic,11/7/2023,TN,davidson,Interior Plateau,NA,Nashville Zoo,36.09,-86.74,0,metadata,Sherri Doro,,
